Species	Reliance	Resources	Sensitivity	Precision	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28
1	3	14	42	0.242043601	0	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0
2	3	10	30	0.046002175	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
3	1	11	11	0.580644441	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1
4	1	14	14	0.539528688	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1
5	1	15	15	0.960714719	0	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	1	1
6	3	6	18	0.060494505	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
7	2	8	16	0.820833593	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0
8	2	9	18	0.57232141	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0
9	1	9	9	0.299206834	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0
10	1	7	7	0.079205185	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0
11	1	10	10	0.61708934	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0
12	1	9	9	0.455190715	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
13	1	9	9	0.721990097	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0
14	1	14	14	0.55104296	0	1	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	0	1	0
15	1	11	11	0.372379373	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1
